asset,target_date,quote_date_used,source,value
7526,2024-05-13,2024-05-13,mirror,5677.0
3198,2024-05-13,2024-05-13,mirror,3373.0
7526,2024-05-13,2024-05-13,mirror,5677.0
1466,2024-05-13,2024-05-13,mirror,4121.0
1466,2024-05-13,2024-05-13,mirror,4121.0
1479,2024-05-13,2024-05-13,mirror,3073.0
3321,2024-05-13,2024-05-13,mirror,5680.0
4018,2024-05-13,2024-05-13,mirror,3244.0
4137,2024-05-13,2024-05-13,mirror,2729.0
6794,2024-05-13,2024-05-13,mirror,9705.0
7523,2024-05-13,2024-05-13,mirror,6487.0
7525,2024-05-13,2024-05-13,mirror,5606.0
8144,2024-05-13,2024-05-13,mirror,5910.0
7523,2024-05-13,2024-05-13,mirror,6487.0
7525,2024-05-13,2024-05-13,mirror,5606.0
8144,2024-05-13,2024-05-13,mirror,5910.0
1479,2024-05-13,2024-05-13,mirror,3073.0
3321,2024-05-13,2024-05-13,mirror,5680.0
4018,2024-05-13,2024-05-13,mirror,3244.0
