Player,Top team,Last team,Number of teams,Number of transactions,Number of trades,Points,Avg points,Weeks missed due to injury,Weeks missed due to suspension,Weeks as starter,% of points (highest team),% of points (lowest team),Times as Player of the week?,Times as QB of the week?,Times as RB of the week?,Times as WR of the week?,Times as TE of the week?,Times as Benchwarmer of the week?,Times as Bench QB of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Rookie?,Age,Best week,Worst week
Jalen Coker,,,,,,114.1,,,,,,,,,,,,,,,,,,,,,21.0,0.0
Jalen Hurts,,,,,,1617.14,,,,,,,,,,,,,,,,,,,,,35.14,0.0
Jalen McMillan,,,,,,125.8,,,,,,,,,,,,,,,,,,,,,23.0,0.0
Jalen Milroe,,,,,,-1.6,,,,,,,,,,,,,,,,,,,,,0.3,-2.0
Jalen Nailor,,,,,,37.4,,,,,,,,,,,,,,,,,,,,,12.4,0.0
Jalen Reagor,,,,,,71.2,,,,,,,,,,,,,,,,,,,,,16.9,-0.3
Jalen Royals,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Jalen Tolbert,,,,,,151.0,,,,,,,,,,,,,,,,,,,,,21.7,0.0
Jalin Hyatt,,,,,,61.6,,,,,,,,,,,,,,,,,,,,,15.9,0.0
Jamaal Williams,,,,,,331.3,,,,,,,,,,,,,,,,,,,,,25.0,0.0
Jameis Winston,,,,,,275.94,,,,,,,,,,,,,,,,,,,,,32.98,-1.36
James Conner,,,,,,880.8,,,,,,,,,,,,,,,,,,,,,39.3,0.0
James Cook,,,,,,868.8,,,,,,,,,,,,,,,,,,,,,36.1,-1.8
James Mitchell,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,8.8,0.0
James Robinson,,,,,,259.5,,,,,,,,,,,,,,,,,,,,,24.4,0.0
James White,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,0.6,0.0
Jameson Williams,,,,,,498.0,,,,,,,,,,,,,,,,,,,,,26.9,0.0
Jamison Crowder,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,8.4,0.0
Jared Cook,,,,,,14.100000000000001,,,,,,,,,,,,,,,,,,,,,9.4,4.7
Jared Goff,,,,,,1135.0,,,,,,,,,,,,,,,,,,,,,40.06,0.0
Jared Wiley,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,1.7,0.0
Jaren Hall,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,4.22,-0.92
Jaret Patterson,,,,,,49.4,,,,,,,,,,,,,,,,,,,,,20.8,0.0
Jarquez Hunter,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Jarvis Landry,,,,,,146.29999999999998,,,,,,,,,,,,,,,,,,,,,19.4,0.0
Jauan Jennings,,,,,,361.3,,,,,,,,,,,,,,,,,,,,,46.5,0.0
Javon Baker,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Javonte Williams,,,,,,774.7,,,,,,,,,,,,,,,,,,,,,28.8,0.0
Jaxon Smith-Njigba,,,,,,719.4,,,,,,,,,,,,,,,,,,,,,37.1,0.0
Jaxson Dart,,,,,,194.1,,,,,,,,,,,,,,,,,,,,,28.42,-0.3
Jayden Daniels,,,,,,459.88,,,,,,,,,,,,,,,,,,,,,34.42,0.0
Jayden Higgins,,,,,,102.4,,,,,,,,,,,,,,,,,,,,,15.2,0.0
Jayden Reed,,,,,,430.3,,,,,,,,,,,,,,,,,,,,,33.1,0.0
Jaydon Blue,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,4.4,0.0
Jaylen Waddle,,,,,,1011.62,,,,,,,,,,,,,,,,,,,,,40.1,0.0
